"","last name","first name","two letter state abbreviation","Number of commemorative bills receiving action beyond committee","Number of commemorative bills receiving action in committee","Number of commemorative bills sponsored by this senator","Number of commemorative bills becoming law","Number of commemorative bills passing Senate","Number of substantive bills receiving action beyond committee","Number of substantive bills receiving action in committee","Number of substantive bills sponsored by this senator","Number of substantive bills becoming law","Number of substantive bills passing Senate","Number of SS bills receiving action beyond committee","Number of SS bills receiving action in committee","Number of substantive and significant (SS) bills sponsored by this senator","Number of SS bills becoming law","Number of SS bills passing Senate","congress","Observation number order based on scraping congress.gov","ID","yearcongStart","dem","majority","yearStart","female","Black","latinx","percent_vote","1st-dimension DW-NOMINATE score","chair","subchair","currterms","stateLeg","state_leg X squire index","majLeader","minLeader","votepct squared","totalSponsored","Total number of bills receiving action in committee","Total number of bills receiving action beyond committee","totalSenate","totalLaw","legeffictive","lagged legislative effectiveness score","distrance from legislative median in DW-NOMINATE","powrcmte","freshman","seniority squared","distance from majority party median dwnom1","number of members in state congressional delegation","Benchmark score based on majority, seniority, chairs","1 = Below, 2 = Meets, 3 = Exceeds"
"47","Helms","Jesse","NC",0,0,5,0,0,1,0,10,0,1,1,0,1,0,1,93,47,14105,1972,0,0,1972,0,0,0,54,0.550000011920929,0,0,1,0,0,0,0,2916,16,0,2,2,0,0.279067993164062,NA,0.675999999046326,0,1,1,0.863508820533752,11,0.330111652612686,2
"48","Hollings","Ernest","SC",0,0,1,0,0,1,0,24,0,1,2,0,3,0,2,93,48,11204,1972,1,1,1966,0,0,0,62,-0.248999997973442,0,1,4,1,0.28099998831749,0,0,3844,28,0,3,3,0,0.517856538295746,NA,0.122999995946884,1,0,16,0.0645088031888008,6,0.986620008945465,2
"49","Hruska","Roman","NE",2,0,8,0,2,1,0,22,1,1,4,0,6,2,4,93,49,4660,1972,0,0,1954,0,0,0,53,0.433999985456467,0,0,10,0,0,0,0,2809,36,0,7,7,3,1.19573271274567,NA,0.560000002384186,1,0,100,0.747508764266968,3,0.723184943199158,3
"50","Huddleston","Walter","KY",0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,93,50,14106,1972,1,1,1972,0,0,0,51,-0.293999999761581,0,1,1,1,0.0780000016093254,0,0,2601,4,0,0,0,0,0.0148340351879597,NA,0.167999997735023,0,1,1,0.0195087995380163,7,0.855595529079437,1
"51","Hughes","Harold","IA",0,0,4,0,0,1,0,6,0,1,1,0,1,1,1,93,51,12106,1972,1,1,1968,0,0,0,50,-0.560000002384186,0,1,3,0,0,0,0,2500,11,0,2,2,1,0.39432767033577,NA,0.434000015258789,1,0,9,0.246491208672523,6,0.942945182323456,1
"52","Humphrey","Hubert","MN",0,0,23,0,0,2,0,58,1,2,7,0,8,2,7,93,52,4728,1972,1,1,1970,0,0,0,58,-0.347000002861023,0,1,2,0,0,0,0,3364,89,0,9,9,3,1.89868652820587,NA,0.221000000834465,1,0,4,0.0334912016987801,8,0.899270355701447,3
"53","Inouye","Daniel","HI",5,0,68,0,5,7,0,86,0,5,3,0,4,1,3,93,53,4812,1972,1,1,1962,0,0,0,83,-0.317999988794327,0,1,6,1,0.24600000679493,0,0,6889,158,0,15,13,1,1.66203367710114,NA,0.191999986767769,1,0,36,0.00449118856340647,2,1.07396960258484,3
"54","Jackson","Henry","WA",5,0,10,0,5,11,0,85,4,11,25,0,35,13,23,93,54,4851,1972,1,1,1952,0,0,0,82,-0.263999998569489,1,1,11,0,0,0,0,6724,130,0,41,39,17,7.05231761932373,NA,0.137999996542931,1,0,121,0.0495088025927544,7,2.39257645606995,3
"55","Javits","Jacob","NY",2,0,9,0,2,3,0,70,1,2,4,0,14,1,3,93,55,4898,1972,0,0,1956,0,0,0,50,-0.180999994277954,0,0,9,0,0,0,0,2500,93,0,9,7,2,1.47641611099243,NA,0.0549999959766865,1,0,81,0.132508799433708,39,0.679510116577148,3
"56","Johnston","J.","LA",0,0,1,0,0,3,0,10,0,3,2,0,2,1,2,93,56,14107,1972,1,1,1972,0,0,0,55,-0.112999998033047,0,1,1,1,0.150000005960464,0,0,3025,13,0,5,5,1,0.692660212516785,NA,0.0130000021308661,0,1,1,0.200508803129196,8,0.855595529079437,2
"57","Kennedy","Edward","MA",0,0,0,0,0,1,0,60,0,1,13,0,22,6,9,93,57,10808,1972,1,1,1962,0,0,0,63,-0.456999987363815,0,1,6,0,0,0,0,3969,82,0,14,10,6,2.99221396446228,NA,0.331000000238419,0,0,36,0.143491193652153,12,1.07396960258484,3
